#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
61,"Lintu","Diandra",37,92,"finnish pop, iskelmä","Pop, Traditional Music","Kerran Joulukuun Aikaan",2015-11-06,04:15,47,42,60,0,14,0,0,-6,C minor,4,2025-11-24,27DYCHLJYBhzhWreoNFRRU,"Universal Music Oy",5A,FIUM71500405
62,"Tonttu","Rajaton",40,158,"christmas","Pop","Joulu",2003-10-20,03:23,49,18,94,0,40,0,10,-13,D minor,3,2025-11-24,1rkqIAbd5OMS3tCL2QiTsH,"Plastinka",7A,FIMMS0300002
63,"Jouluks kotiin","OLGA, JVG",35,180,"finnish hip hop, finnish pop, iskelmä","Hip Hop, Pop, Traditional Music","Jouluks kotiin",2024-12-13,02:44,59,68,24,0,74,0,10,-5,G,4,2025-11-24,0lPnlw2OqYerwBT9MyoLex,"PME Records",9B,FIPEB2400180
64,"Christmas Time","Backstreet Boys",0,144,"","","Christmas Hits",2013-09-20,04:15,57,52,16,0,41,0,0,-11,G,4,2025-11-24,1eh5mDCjo7XbDNY5tYiNVU,"Sony Music Entertainment",9B,USJI10000524
65,"Kun joulupukki suukon sai","Laura Voutilainen",36,189,"iskelmä, finnish pop, finnish rock","Pop, Rock, Traditional Music","Lumikuningatar",1994-01-07,02:53,43,71,22,0,53,0,10,-9,G,4,2025-11-24,3XJThMN1fH8PA56PHLk7R9,"WEA",9B,FIFMF9700423
66,"Sleigh Ride","Miley Cyrus",58,166,"","","Spotify Singles - Holiday",2017-11-29,03:04,58,75,19,0,77,0,10,-8,D,4,2025-11-24,7enVhl0fuHvQ4ErXvAXYIH,"RCA Records Label",10B,USRC11703275
67,"It's Christmas Time (with Michael Bolton)","Matoma, Michael Bolton",38,87,"tropical house, soft rock","Rock, Electronic","It's Christmas Time (with Michael Bolton)",2020-11-12,03:23,45,31,46,0,26,0,30,-7,D#/E♭,4,2025-11-24,0NLV6yzZjNYIGkWcEH7qhN,"Big Beat Records",5B,USAT22006248
68,"Aattoaamu - Anna laulu lahjaksi","Irina",35,115,"finnish pop, finnish rock, iskelmä","Pop, Rock, Traditional Music","Aattoaamu (Anna laulu lahjaksi)",2019-11-15,03:26,62,56,26,0,32,0,30,-7,B,4,2025-11-24,4oaqgsL3RvSd0fel14Ve4H,"RCA Records Label",1B,FIBAR1900209
69,"Santa, Can’t You Hear Me","Kelly Clarkson, Ariana Grande",78,146,"christmas, pop","Pop","When Christmas Comes Around...",2021-10-15,04:02,50,90,1,0,46,0,30,-2,B,4,2025-11-24,2O3MQ6H3gjrIWDcpeTrikT,"Atlantic Records",1B,USAT22104760
70,"O Holy Night","Frances",0,106,"","","O Holy Night",2016-12-16,02:53,55,18,89,0,22,0,10,-10,F#/G♭,3,2025-11-24,5BSsjhNbKURBOD0p9FccKr,"Universal Music Group",2B,GBUM71606607
71,"Thank God It's Christmas","Queen",67,108,"classic rock, rock, glam rock","Rock","Greatest Hits III",1999-11-09,04:19,57,48,7,0,32,0,30,-8,G,3,2025-11-24,0QtJZpyfZF67QF32p41NXa,"EMI",9B,GBCEG8400019
72,"Musta joulu","Nylon Beat",32,136,"finnish pop, iskelmä, finnish rock","Pop, Rock, Traditional Music","Valkea joulu 2",2014-10-31,04:43,55,55,4,0,63,0,10,-8,D#/E♭,4,2025-11-24,7MxdxasmsszJ4vu8RVdTYi,"Bluebird (Finland)",5B,FIMTA9900117
73,"A Nonsense Christmas","Sabrina Carpenter",78,139,"pop","Pop","fruitcake",2023-11-17,02:33,71,77,1,0,63,0,10,-4,G#/A♭,4,2025-11-24,73ye7F9Ub51dQ3CrnCHFhr,"Island Records",4B,USUM72222808
74,"Blue Christmas","Elvis Presley",78,95,"rockabilly, rock and roll","Rock","Elvis' Christmas Album",1957-10-15,02:10,47,27,90,0,58,0,10,-17,E,4,2025-11-24,3QiAAp20rPC3dcAtKtMaqQ,"RCA Victor",12B,USRC15701155
75,"Varpunen tuulikaapissa","Arttu Wiskari",31,88,"finnish pop, iskelmä, finnish rock","Pop, Rock, Traditional Music","Varpunen tuulikaapissa",2024-11-08,03:16,60,42,56,0,38,0,10,-8,E minor,4,2025-11-24,7pIbAqA3FDkrwrkVgKJ7jg,"WM Finland",9A,FIWMA2400410
76,"Santa Baby","Kylie Minogue",61,87,"dance pop","Electronic, Pop","Kylie Christmas",2015-11-13,03:21,68,38,75,0,42,0,10,-7,C♯/D♭,4,2025-11-24,2SBr3MK1sdMs8IxdRcN6qz,"Parlophone UK",3B,GBAYE1500956
77,"Santa's Coming For Us","Sia",0,93,"","","Santa's Coming For Us",2017-10-30,03:26,67,85,2,0,71,10,0,-4,C♯/D♭,4,2025-11-24,3txjyObHLw10MqpL6PyMJ7,"Monkey Puzzle/Atlantic",3B,USAT21704210
78,"The Christmas Song (Merry Christmas To You)","Nat King Cole",82,73,"christmas, adult standards, vocal jazz","Easy Listening, Pop, Jazz","The Christmas Song (Expanded Edition)",1962-00-00,03:12,32,21,92,0,21,0,10,-15,F#/G♭,5,2025-11-24,4PS1e8f2LvuTFgUs1Cn3ON,"CAPITOL CATALOG MKT (C92)",2B,USCA29900551
79,"Merry Xmas Everybody","Slade",0,130,"glam rock, christmas","Pop, Rock","Crackers",2022-10-07,03:43,40,76,11,0,43,0,10,-5,G,4,2025-11-24,2unvC2MlubBY3GxXqrRW00,"BMG Rights Management (UK) Ltd",9B,GBAKW7301006
80,"Step Into Christmas - Remastered 1995","Elton John",62,140,"","","Goodbye Yellow Brick Road (40th Anniversary Celebration / Super Deluxe)",1973-10-05,04:32,53,93,10,0,82,0,30,-6,D,4,2025-11-24,6sBWmE23q6xQHlnEZ8jYPT,"UMC (Universal Music Catalogue)",10B,GBAMB9500053
81,"Run Rudolph Run","Chuck Berry",79,152,"rockabilly, rock and roll","Rock","Rock 'N' Roll Rarities",1986-01-01,02:45,68,72,81,0,96,0,0,-11,G minor,4,2025-11-24,2pnPe4pJtq7689i5ydzvJJ,"Geffen*",6A,USMC15819663
82,"Wonderful Christmastime (Edited Version) [Remastered]","Paul McCartney",0,95,"","","Now That's What I Call Christmas",2014-02-14,03:45,77,51,29,0,77,0,0,-9,B,4,2025-11-24,1F8tXdM8cz9bH5PiK1SuAB,"Now! Music",1B,GBCCS8401051
83,"Juhlittiin ja tapeltiin (Vain elämää joulu)","JVG",31,88,"finnish hip hop, finnish pop, iskelmä","Hip Hop, Pop, Traditional Music","Juhlittiin ja tapeltiin (Vain elämää joulu)",2019-11-22,02:51,65,73,38,0,42,10,0,-5,G,4,2025-11-24,22XdHwZ2tq8YVR8pFa8HMo,"WM Finland",9B,FIWMA1900563
84,"Something Kind of Wonderful","Chris Medina",34,140,"","","Something Kind of Wonderful",2015-00-00,04:05,46,55,34,0,31,0,10,-6,A,3,2025-11-24,38aHnT4Uv30SY4UXcfWluI,"Chris Medina LLC",11B,QM33F1500002
85,"Tell Me Santa","Made Of Snow, Tamesha Alexander",0,125,"christmas","Pop","Only Once A Year",2016-11-06,03:43,67,75,1,0,68,0,30,-8,C,4,2025-11-24,6og6QacUcimozvJoPo1Oag,"Made Of Snow",8B,SE5Q51700138
