#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
133,"Hard Rock Hallelujah","Lordi",53,123,"metal","Metal","The Arockalypse",2006-02-22,04:07,56,95,0,5,56,0,10,-4,D#/E♭,4,2025-01-15,7sZTvm0Sx8umbyQViTE2Qc,"RCA Records Label",5B,FIBAR0500287
134,"Breakfast At Tiffany's","Deep Blue Something",0,115,"","","11th Song",1993-00-00,05:18,47,48,1,0,60,0,0,-16,D,4,2025-01-15,4GPe1qjQCvOIa8vLBKDI9d,"Kirtland Records",10B,USZXT1011813
135,"3AM","Matchbox Twenty",73,108,"post-grunge","Rock","Yourself or Someone Like You",1996-10-01,03:45,52,67,1,0,54,0,10,-9,G#/A♭,4,2025-01-15,5vYA1mW9g2Coh1HUFUSmlb,"Lava/Atlantic",4B,USAT29600038
136,"It Wasn't Me","Shaggy, Rik Rok",80,95,"reggae, dancehall, riddim, lovers rock, ragga","Reggae, Hip Hop, Electronic","Hot Shot",2000-08-08,03:47,85,61,6,0,65,0,30,-5,C,4,2025-01-15,3WkibOpDF7cQ5xntM1epyf,"Geffen",8B,USMC10000393
137,"Pump Up The Jam","Technotronic",72,125,"eurodance, hip house, dance","Electronic, Pop, Hip Hop","Pump Up The Jam",1989-11-28,05:20,89,84,1,0,72,0,0,-9,A#/B♭ minor,4,2025-01-15,21qnJAMtzC6S5SESuqQLEK,"Universal Music S.A.",3A,BED018901375
138,"Substitution (feat. Julian Perretta)","Purple Disco Machine, Kungs, Julian Perretta",66,124,"disco house, nu disco, funky house, house","Electronic, Pop","Substitution (feat. Julian Perretta)",2023-03-30,03:01,69,89,1,0,71,0,10,-5,C minor,4,2025-01-15,2F2p7b5Xq20mRyEeWYaeUF,"Columbia Local",5A,DEE862300093
139,"Gangsta's Paradise","Coolio, L.V.",6,80,"west coast hip hop, g-funk","Hip Hop, R&B","Gangsta's Paradise",1995-11-07,04:00,65,51,7,0,39,0,40,-10,G#/A♭,4,2025-01-15,7lQWRAjyhTpCWFC0jmclT4,"Tommy Boy Music, LLC",4B,USTB10400128
140,"Autiotalo","Dingo",46,114,"finnish rock, iskelmä, finnish pop","Pop, Rock, Traditional Music","Kerjäläisten valtakunta",1985-00-00,04:23,52,54,9,0,42,0,0,-8,D,4,2025-01-15,6gZiWkvxlNl6DSZkp58p4d,"WEA",10B,FIFMF8501100
141,"I Believe in a Thing Called Love - Single Version","The Darkness",35,128,"glam metal","Metal, Rock","I Believe in a Thing Called Love",2003-00-00,03:38,41,94,1,0,54,0,30,-2,C,4,2025-01-15,1Z3V1fGR5HYr232lLPVD9G,"EastWest U.K.",8B,GBAHS0300702
142,"This Love","Maroon 5",86,95,"pop","Pop","Songs About Jane: 10th Anniversary Edition",2002-00-00,03:26,71,86,5,0,81,0,0,-5,F minor,4,2025-01-15,6ECp64rv50XVz93WvxXMGF,"Interscope Records*",4A,USJAY0300080
143,"Aicha","Outlandish",56,87,"dansk pop","","Bread & Barrels Of Water (International Version)",2003-04-01,04:35,75,64,21,0,61,0,10,-5,D,4,2025-01-15,7mze3mJmu79AJu8SnS37pS,"RCA Records Label",10B,DKADG0201504
144,"In the Shadows","The Rasmus",75,106,"finnish rock","Rock","Dead Letters",2003-03-24,04:17,60,80,0,0,75,0,40,-4,D,4,2025-01-15,1fr92Vupmcs2vgLMFVQ7rd,"Playground Music",10B,SEVJH0201601
145,"Join Me In Death - Strongroom Mix","HIM",62,114,"gothic metal, gothic rock, finnish rock","Rock, Metal","Uneasy Listening Vol.1",2006-10-20,03:38,61,67,0,0,67,0,10,-7,G#/A♭ minor,4,2025-01-15,2Y6k2RbPc83mh3C7mgIB37,"RCA Records Label",1A,FIBAR0600282
146,"(I Can't Get No) Satisfaction - Mono","The Rolling Stones",76,136,"classic rock, rock","Rock","Out Of Our Heads",1965-07-30,03:42,72,86,4,3,93,0,10,-8,D,4,2025-01-15,2PzU4IB8Dr6mxV3lHuaG34,"ABKCO Music and Records, Inc.",10B,USA176510160
147,"Runaway","Del Shannon",39,150,"doo-wop","Pop, R&B","Pure 60s",2007-09-24,02:18,53,79,68,0,85,0,10,-2,A#/B♭,4,2025-01-15,0uxu2GzsOMGNZ7C1ul84Mf,"Parlophone UK",6B,GB01A0800374
148,"Kill Bill","SZA",78,89,"r&b","R&B","SOS",2022-12-09,02:33,64,73,5,17,43,0,10,-6,G#/A♭,4,2025-01-15,3OHfY25tqY28d16oZczHc8,"Top Dawg Entertainment/RCA Records",4B,USRC12204584
149,"Die With A Smile","Lady Gaga, Bruno Mars",91,158,"art pop, pop","Pop","Die With A Smile",2024-08-16,04:11,52,59,31,0,54,0,10,-8,F#/G♭ minor,3,2025-01-15,2plbrEY59IikOBgBGLjaoe,"Interscope",11A,USUM72409273
150,"Maradona (kesä ´86)","Teflon Brothers",45,120,"finnish hip hop, finnish pop, iskelmä","Hip Hop, Pop, Traditional Music","Isänpäivä",2014-01-01,03:46,65,64,2,0,68,0,20,-6,G#/A♭,4,2025-01-15,4OeDZhsYg6pA0QYlzeD9pQ,"Johanna Kustannus Oy",4B,FIUM71400426
151,"no tears left to cry","Ariana Grande",79,122,"pop","Pop","Sweetener",2018-08-17,03:25,70,71,4,0,35,0,20,-6,A minor,4,2025-01-15,2qT1uLXPVPzGgFOx4jtEuo,"Republic Records",8A,USUM71805289
152,"Yeah! (feat. Lil Jon & Ludacris)","USHER, Lil Jon, Ludacris",85,105,"r&b, crunk, southern hip hop","Hip Hop, R&B","Confessions (Expanded Edition)",2004-03-23,04:10,89,79,2,0,58,10,0,-5,D,4,2025-01-15,5rb9QrpfcKFHM1EUbSIurX,"LaFace Records",10B,USAR10301423
153,"Don't Cha","The Pussycat Dolls, Busta Rhymes",75,120,"east coast hip hop","Hip Hop","PCD",2005-01-01,04:32,88,63,1,0,55,10,10,-3,C♯/D♭,4,2025-01-15,0BxfFnk0YzONqvmrkO0QrB,"Pussycat Dolls",3B,USUM70503191
154,"I Want to Know What Love Is - 1999 Remaster","Foreigner",84,81,"aor, classic rock","Rock","Agent Provocateur",1984-00-00,05:04,48,47,19,0,42,0,10,-10,F#/G♭,4,2025-01-15,1JLn8RhQzHz3qDqsChcmBl,"Atlantic Records",2B,USAT29900662
155,"Out of Touch","Daryl Hall & John Oates",65,115,"yacht rock, soft rock","Rock, Pop","The Very Best of Daryl Hall / John Oates",2009-02-20,04:09,81,65,4,0,90,0,0,-9,A minor,4,2025-01-15,7zLGHdfJ3JRPxvc96mEPEi,"RCA Records Label",8A,USRC10000836
